trigger,match_type,promote_url,previous_promote_url,source,target_current_rank,current_top_result,priority,promotion_needed,disambiguated,url_level_original,rule_applied,change_note
aging graduate,exact,https://www.arizona.edu/degree-search/majors/innovations-in-aging-gc,https://www.arizona.edu/degree-search/majors/innovations-in-aging-gc,metadata,absent,https://innovationsinaging.uahs.arizona.edu/programs/masters-program,"P2 relevant buried, target absent",yes,,GRAD,Rule 2 — specific entity (kept),
aging law and policy,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/aging-law-and-policy,metadata,4,https://law.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/aging-law-and-policy
agribusiness economics & management,exact,https://www.arizona.edu/degree-search/majors/agricultural-and-applied-economics-agribusiness-economics-and-management-emphasis,https://www.arizona.edu/degree-search/majors/agricultural-and-applied-economics-agribusiness-economics-and-management-emphasis,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
agribusiness economics and management agribusiness management,exact,https://www.arizona.edu/degree-search/majors/agribusiness-economics-and-management-agribusiness-management-emphasis,https://www.arizona.edu/degree-search/majors/agribusiness-economics-and-management-agribusiness-management-emphasis,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
agribusiness economics and management agricultural economics,exact,https://www.arizona.edu/degree-search/majors/agribusiness-economics-and-management-agricultural-economics-emphasis,https://www.arizona.edu/degree-search/majors/agribusiness-economics-and-management-agricultural-economics-emphasis,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
agricultural and resource economics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/agricultural-and-resource-economics,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/agricultural-and-resource-economics
agricultural education and teaching,exact,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-teaching-emphasis,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-teaching-emphasis,metadata,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
"agricultural education, leadership and communication",exact,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-leadership-and-communication-emphasis,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-leadership-and-communication-emphasis,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
agriculture and technology,exact,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-agricultural-technology-management-emphasis,https://www.arizona.edu/degree-search/majors/agricultural-technology-management-and-education-agricultural-technology-management-emphasis,ahrefs,absent,https://cales.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
ai for business,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/ai-for-business,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/ai-for-business
american indian higher education graduate,exact,https://www.arizona.edu/degree-search/majors/american-indian-higher-education,https://www.arizona.edu/degree-search/majors/american-indian-higher-education,metadata,4,https://education.arizona.edu/,"P2 target present, buried",yes,,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
american indian studies,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/american-indian-studies,metadata,absent,https://ais.arizona.edu/degree-requirements,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/american-indian-studies
american indian studies phd,exact,https://www.arizona.edu/degree-search/majors/american-indian-studies-dp,https://www.arizona.edu/degree-search/majors/american-indian-studies-dp,metadata,absent,https://ais.arizona.edu/degree-requirements,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
animal and comparative biomedical sciences,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/animal-and-comparative-biomedical-sciences-ms,metadata,absent,https://vetmed.arizona.edu/,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/animal-and-comparative-biomedical-sciences-ms
animal and comparative biomedical sciences phd,exact,https://www.arizona.edu/degree-search/majors/animal-and-comparative-biomedical-sciences-dp,https://www.arizona.edu/degree-search/majors/animal-and-comparative-biomedical-sciences-dp,metadata,absent,https://vetmed.arizona.edu/,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
animal science animal industry,exact,https://www.arizona.edu/degree-search/majors/animal-sciences-animal-industry-emphasis,https://www.arizona.edu/degree-search/majors/animal-sciences-animal-industry-emphasis,metadata,3,https://science.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
animal science pictures,exact,https://www.arizona.edu/degree-search/majors/animal-sciences-science-and-pre-professional-emphasis,https://www.arizona.edu/degree-search/majors/animal-sciences-science-and-pre-professional-emphasis,ahrefs,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
animal sciences race industry,exact,https://www.arizona.edu/degree-search/majors/animal-sciences-race-track-industry-emphasis,https://www.arizona.edu/degree-search/majors/animal-sciences-race-track-industry-emphasis,metadata,3,https://vetmed.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
anthropology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/anthropology,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/anthropology
anthropology and linguistics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/anthropology-and-linguistics,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/anthropology-and-linguistics
anthropology archaeological sciences,exact,https://www.arizona.edu/degree-search/majors/anthropology-archaeological-sciences-emphasis,https://www.arizona.edu/degree-search/majors/anthropology-archaeological-sciences-emphasis,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
anthropology ba,exact,https://www.arizona.edu/degree-search/majors/anthropology-ba,https://www.arizona.edu/degree-search/majors/anthropology-ba,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,yes,UG,Rule 2 — specific entity (kept),
anthropology human biology,exact,https://www.arizona.edu/degree-search/majors/anthropology-human-biology-emphasis,https://www.arizona.edu/degree-search/majors/anthropology-human-biology-emphasis,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
anthropology ma,exact,https://www.arizona.edu/degree-search/majors/anthropology-ma,https://www.arizona.edu/degree-search/majors/anthropology-ma,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
anthropology phd,exact,https://www.arizona.edu/degree-search/majors/anthropology-dp,https://www.arizona.edu/degree-search/majors/anthropology-dp,metadata,absent,https://sbs.arizona.edu/,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
applied behavior analysis,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-behavior-analysis,metadata,4,https://behavioranalysis.arizona.edu/masters-aba,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-behavior-analysis
applied biosciences,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-biosciences,metadata,absent,https://abs.arizona.edu/prospective-students/how-apply,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-biosciences
applied biotechnology,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-biotechnology,ahrefs,9,https://spls.arizona.edu/undergraduate/bs-applied-biotechnology,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-biotechnology
applied biotechnology food and beverage fermentation,exact,https://www.arizona.edu/degree-search/majors/applied-biotechnology-food-and-beverage-fermentation-emphasis,https://www.arizona.edu/degree-search/majors/applied-biotechnology-food-and-beverage-fermentation-emphasis,metadata,3,https://union.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied biotechnology industrial plant and microbial biotechnology,exact,https://www.arizona.edu/degree-search/majors/applied-biotechnology-industrial-plant-and-microbial-biotechnology-emphasis,https://www.arizona.edu/degree-search/majors/applied-biotechnology-industrial-plant-and-microbial-biotechnology-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/applied-biotechnology-industrial-plant-and-microbial-biotechnology-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
applied computing,exact,https://www.arizona.edu/degree-search/majors/applied-computing-applied-artificial-intelligence-emphasis,https://www.arizona.edu/degree-search/majors/applied-computing-applied-artificial-intelligence-emphasis,ahrefs,8,https://azcast.arizona.edu/node/801,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied computing university of arizona,exact,https://www.arizona.edu/degree-search/majors/applied-computing-network-operations-emphasis,https://www.arizona.edu/degree-search/majors/applied-computing-network-operations-emphasis,ahrefs,10,https://www.arizona.edu/admissions,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied computing university of arizona emphasis,exact,https://www.arizona.edu/degree-search/majors/applied-computing-cloud-computing-emphasis,https://www.arizona.edu/degree-search/majors/applied-computing-cloud-computing-emphasis,ahrefs,2,https://www.arizona.edu/admissions,"P2 target present, buried",yes,yes,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities astrobiology,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-astrobiology-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-astrobiology-emphasis,metadata,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities business administration,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-business-administration-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-business-administration-emphasis,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
"applied humanities consumer, market and retail studies",exact,https://www.arizona.edu/degree-search/majors/applied-humanities-consumer-market-and-retail-studies-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-consumer-market-and-retail-studies-emphasis,metadata,3,https://humanities.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities engineering approaches,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-engineering-approaches-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-engineering-approaches-emphasis,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities entrepreneurship,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-entrepreneurship-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-entrepreneurship-emphasis,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities environmental systems,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-environmental-systems-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-environmental-systems-emphasis,metadata,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities game studies,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-game-studies-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-game-studies-emphasis,metadata,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities human-animal interaction,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-human-animal-interaction-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-human-animal-interaction-emphasis,metadata,5,https://humanities.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities medicine,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-medicine-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-medicine-emphasis,metadata,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities plant studies,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-plant-studies-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-plant-studies-emphasis,metadata,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities rural leadership and renewal,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-rural-leadership-and-renewal-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-rural-leadership-and-renewal-emphasis,metadata,7,https://humanities.arizona.edu/,"P2 target present, buried",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities university of arizona,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-business-administration-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-business-administration-emphasis,ahrefs,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied humanities university of arizona emphasis,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-public-health-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-public-health-emphasis,ahrefs,absent,https://humanities.arizona.edu/,"P2 relevant buried, target absent",yes,yes,EMPHASIS,Rule 2 — specific entity (kept),
applied intercultural arts research,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-intercultural-arts-research-ma,metadata,absent,https://aiar.arizona.edu/phd-applied-intercultural-arts-research,"P2 relevant buried, target absent",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-intercultural-arts-research-ma
applied intercultural arts research phd,exact,https://www.arizona.edu/degree-search/majors/applied-intercultural-arts-research-dp,https://www.arizona.edu/degree-search/majors/applied-intercultural-arts-research-dp,metadata,absent,https://aiar.arizona.edu/phd-applied-intercultural-arts-research,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
applied mathematics,exact,https://www.arizona.edu/degree-search/majors/mathematics-applied-emphasis-ba,https://www.arizona.edu/degree-search/majors/mathematics-applied-emphasis-ba,metadata,absent,https://appliedmath.arizona.edu/admissions/application-procedures,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
applied mathematics graduate certificate,exact,https://www.arizona.edu/degree-search/majors/applied-mathematics-gc,https://www.arizona.edu/degree-search/majors/applied-mathematics-gc,metadata,absent,https://appliedmath.arizona.edu/admissions/application-procedures,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
applied mathematics ms,exact,https://www.arizona.edu/degree-search/majors/applied-mathematics-ms,https://www.arizona.edu/degree-search/majors/applied-mathematics-ms,metadata,absent,https://appliedmath.arizona.edu/admissions/application-procedures,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
applied mathematics phd,exact,https://www.arizona.edu/degree-search/majors/applied-mathematics-dp,https://www.arizona.edu/degree-search/majors/applied-mathematics-dp,metadata,absent,https://appliedmath.arizona.edu/admissions/application-procedures,"P2 relevant buried, target absent",yes,yes,PHD,Rule 2 — specific entity (kept),
applied nutrition,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-nutrition-gc,metadata,7,https://snsw.arizona.edu/graduate/online-distance-programs/psm-applied-nutrition-nutrition-wellness-ms-pathway,"P2 target present, buried",yes,,GRAD,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-nutrition-gc
applied nutrition professional science masters,exact,https://www.arizona.edu/degree-search/majors/applied-nutrition-psm,https://www.arizona.edu/degree-search/majors/applied-nutrition-psm,metadata,8,https://snsw.arizona.edu/graduate/online-distance-programs/psm-applied-nutrition-nutrition-wellness-ms-pathway,"P2 target present, buried",yes,yes,GRAD,Rule 2 — specific entity (kept),
applied physics,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-physics,ahrefs,absent,https://science.arizona.edu/,P1 all results off-topic,yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-physics
applied physics degree,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-physics,ahrefs,absent,https://www.arizona.edu/degree-search,P1 all results off-topic,yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-physics
applied physics major,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/applied-physics,ahrefs,absent,https://www.arizona.edu/degree-search,P1 all results off-topic,yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/applied-physics
applied science administration of justice,exact,https://www.arizona.edu/degree-search/majors/applied-science-administration-of-justice-emphasis,https://www.arizona.edu/degree-search/majors/applied-science-administration-of-justice-emphasis,metadata,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
aquaculture,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/aquaculture,metadata,1,https://www.arizona.edu/degree-search/majors/aquaculture,P0 already #1,no (already #1),,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/aquaculture
arabic,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/arabic,metadata,13,https://international-admissions.arizona.edu/application-requirements/united-arab-emirates,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/arabic
architectural design and spatial thinking,exact,https://www.arizona.edu/degree-search/majors/applied-humanities-spatial-organization-and-design-thinking-emphasis,https://www.arizona.edu/degree-search/majors/applied-humanities-spatial-organization-and-design-thinking-emphasis,metadata,1,https://www.arizona.edu/degree-search/majors/applied-humanities-spatial-organization-and-design-thinking-emphasis,P0 already #1,no (already #1),,EMPHASIS,Rule 2 — specific entity (kept),
architectural engineering,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/architectural-engineering,ahrefs,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/architectural-engineering
architectural engineering bachelor degree,exact,https://www.arizona.edu/degree-search/majors/architectural-engineering,https://www.arizona.edu/degree-search/majors/architectural-engineering,ahrefs,12,https://www.arizona.edu/degree-search,"P2 target present, buried",yes,,BASE,Rule 2 — REVIEW: specific term on base page,needs UG entity; no matching level page in dataset — verify
architectural engineering education requirements,exact,https://www.arizona.edu/degree-search/majors/architectural-engineering,https://www.arizona.edu/degree-search/majors/architectural-engineering,ahrefs,absent,https://education.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
architecture,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/architecture,metadata,absent,https://capla.arizona.edu/,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/architecture
architecture ma,exact,https://www.arizona.edu/degree-search/majors/architecture-ma,https://www.arizona.edu/degree-search/majors/architecture-ma,metadata,absent,https://capla.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
architecture major,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/architecture-ba,ahrefs,absent,https://capla.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/architecture-ba
architecture ms,exact,https://www.arizona.edu/degree-search/majors/architecture-ms,https://www.arizona.edu/degree-search/majors/architecture-ms,metadata,absent,https://capla.arizona.edu/,"P2 relevant buried, target absent",yes,yes,GRAD,Rule 2 — specific entity (kept),
archival studies,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/archival-studies,metadata,5,https://mas.arizona.edu/archives,"P2 target present, buried",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/archival-studies
arid lands resource sciences,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/arid-lands-resource-sciences,metadata,absent,https://alrs.arizona.edu/degree-requirements,"P2 relevant buried, target absent",yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/arid-lands-resource-sciences
arizona accounting,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/accounting-bsba,ahrefs,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/accounting-bsba
arizona astronomy,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/astronomy,ahrefs,absent,https://science.arizona.edu/,P1 all results off-topic,yes,,BASE,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/astronomy
arizona audiology,exact,https://www.arizona.edu/degree-search/majors/doctor-of-audiology,https://www.arizona.edu/degree-search/majors/doctor-of-audiology,ahrefs,1,https://www.arizona.edu/degree-search/majors/doctor-of-audiology,P0 already #1,no (already #1),,PHD,Rule 2 — specific entity (kept),
arizona chemistry,exact,https://www.arizona.edu/degree-search,https://www.arizona.edu/degree-search/majors/chemistry-bs,ahrefs,absent,https://science.arizona.edu/,P1 all results off-topic,yes,,UG,Rule 1 — generic term → DS home,was: https://www.arizona.edu/degree-search/majors/chemistry-bs
arizona computer science,exact,https://www.arizona.edu/degree-search/majors/environmental-science-the-biosphere-emphasis,https://www.arizona.edu/degree-search/majors/environmental-science-the-biosphere-emphasis,ahrefs,absent,https://science.arizona.edu/,"P2 relevant buried, target absent",yes,,EMPHASIS,Rule 2 — specific entity (kept),
arizona egypt,exact,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,https://www.arizona.edu/degree-search/majors/egyptian-archaeology,ahrefs,absent,https://international-admissions.arizona.edu/application-requirements/egypt,"P2 relevant buried, target absent",yes,,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
