trigger,promote_url,url_level_original,rule_applied,change_note
administration and management of american indian natural resources graduate,https://www.arizona.edu/degree-search/majors/administration-and-management-of-american-indian-natural-resources,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
nutrition and wellness degree,https://www.arizona.edu/degree-search/majors/nutritional-sciences-and-wellness,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
phd in cancer biology,https://www.arizona.edu/degree-search/majors/cancer-biology,BASE,Rule 2 — REVIEW: specific term on base page,needs PHD entity; no matching level page in dataset — verify
planetary geology degree,https://www.arizona.edu/degree-search/majors/planetary-geoscience,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
pr university,https://www.arizona.edu/degree-search/majors/public-relations,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
pre veterinary major,https://www.arizona.edu/degree-search/majors/veterinary-science,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
pre-psychological science,https://www.arizona.edu/degree-search/majors/psychological-science,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
real estate development analysis graduate,https://www.arizona.edu/degree-search/majors/real-estate-development-analysis,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
real estate development finance graduate,https://www.arizona.edu/degree-search/majors/real-estate-development-finance,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
real estate development practice graduate,https://www.arizona.edu/degree-search/majors/real-estate-development-practice,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
rock engineering certificate,https://www.arizona.edu/degree-search/majors/rock-mechanics,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
u of a degrees,https://www.arizona.edu/degree-search/majors/law,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
ua degree search,https://www.arizona.edu/degree-search/majors/law,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona cybersecurity masters,https://www.arizona.edu/degree-search/majors/cybersecurity,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
university of arizona dance acceptance rate,https://www.arizona.edu/degree-search/majors/dance,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona data science masters,https://www.arizona.edu/degree-search/majors/data-science,BASE,Rule 2 — REVIEW: specific term on base page,needs GRAD entity; no matching level page in dataset — verify
university of arizona fashion major studies,https://www.arizona.edu/degree-search/majors/environmental-studies,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona forensic science,https://www.arizona.edu/degree-search/majors/criminal-justice-studies,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona geomechanics,https://www.arizona.edu/degree-search/majors/rock-mechanics,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona kinesiology performance,https://www.arizona.edu/degree-search/majors/nutrition-and-human-performance,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona mred,https://www.arizona.edu/degree-search/majors/real-estate-development,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona occupational therapy,https://www.arizona.edu/degree-search/majors/rehabilitation-studies-and-services,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona online phd in organizational development and leadership,https://www.arizona.edu/degree-search/majors/educational-leadership,BASE,Rule 2 — REVIEW: specific term on base page,needs PHD entity; no matching level page in dataset — verify
university of arizona pmhnp,https://www.arizona.edu/degree-search/majors/psychiatric-mental-health-nurse-practitioner,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
university of arizona school of dance,https://www.arizona.edu/degree-search/majors/dance,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
uofa finance major,https://www.arizona.edu/degree-search/majors/personal-and-family-financial-planning,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
veterinarian science,https://www.arizona.edu/degree-search/majors/veterinary-science,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
what does mse stand for degree,https://www.arizona.edu/degree-search/majors/materials-science-engineering,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
what is creative writing in college,https://www.arizona.edu/degree-search/majors/creative-writing,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
what major is law,https://www.arizona.edu/degree-search/majors/law,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
world literature studies,https://www.arizona.edu/degree-search/majors/world-literature,BASE,REVIEW: base-page mapping (verify generic vs keep),trigger not a clean field-name match; left unchanged
